中	0x4e2d	py:zhōng/zhòng,Cant:zung1/zung3,JOn:chuu,JKun:naka uchi ataru,Hangul:중,KoRom:cwung,Viet:trung,wb:khk,zm:j/jivv,sn:4,rd:丨,st:2512	en:central; center, middle; in the midst of; hit (target); attain	
丮	0x4e2e	py:jǐ,JOn:keki kyaku,JKun:motsu toru,KoRom:kuk,wb:nfhk,zm:ydab,sn:4,rd:丨,st:5112	en:catch	
丯	0x4e2f	py:jiè,JOn:kai,JKun:sanransuru,wb:ehk,zm:pdi,sn:4,rd:丨,st:3332	en:dense	
丰	0x4e30	py:fēng,Cant:fung1,JOn:hou fu fuu bu,JKun:mimeyoi shigeru,Hangul:봉,KoRom:pong,Viet:phong,wb:dhk,zm:ci,sn:4,rd:丨,st:1112	en:abundant, lush, bountiful, plenty	
丱	0x4e31	py:guàn/kuàng,Cant:gwaan3,JOn:kan kou ken,JKun:agemaki aragane,Hangul:관,KoRom:kwan,wb:njgh,zm:ziaa,sn:5,rd:丨,st:53212	en:child's hairstyle bound in two tufts; ore	
串	0x4e32	py:guàn/chuàn/quàn,Cant:cyun3/gwaan3,JOn:sen kan,JKun:kushi tsuranuku,Hangul:곶 관,KoRom:koc kwan chen,Viet:xuyến,wb:kkhk,zm:jji,sn:7,rd:丨,st:2512512	en:string; relatives; conspire	
丳	0x4e33	py:chǎn/chuàn,Cant:caan2,JOn:san sen,JKun:kushi,KoRom:chan,wb:kkjk,zm:jjnd,sn:8,rd:丨,st:25125132	en:spit, grill; a skewer	
临	0x4e34	py:lín/lìn,Cant:lam4,wb:jtyj,zm:kdmk,sn:9,rd:丨,st:223142521	en:draw near, approach; descend	
丵	0x4e35	py:zhuó,JOn:saku,JKun:kusanomuragari,KoRom:chak,wb:oguf,zm:kuub,sn:10,rd:丨业,st:2243143112	en:thick (grass)	
丶	0x4e36	py:zhǔ,Cant:zyu2,JOn:chu,JKun:ten chobo shirushi,KoRom:cwu,wb:yyll,zm:saaa,sn:1,rd:丶,st:4	en:dot; KangXi radical 3	
丷	0x4e37	KoRom:ha,wb:uyt,zm:udaa,sn:2,rd:丶,st:43	en:kwukyel	
丸	0x4e38	py:wán,Cant:jyun2/jyun4,JOn:gan,JKun:marui marumeru tama,Hangul:환,KoRom:hwan,Viet:hoàn,wb:vyi,zm:qya,sn:3,rd:丿丶,st:354	en:small round object; pellet, pill	
丹	0x4e39	py:dān,Cant:daan1,JOn:tan,JKun:aka ni,Hangul:단 란,KoRom:tan,Viet:đam,wb:myd,zm:qsvv,sn:4,rd:丶丿,st:3541	en:cinnabar (native HgS); vermilion (artificial HgS used as pigment)	
为	0x4e3a	py:wèi/wéi,Cant:wai4/wai6,wb:ylyi,zm:u/udys,sn:4,rd:丶,st:4354	en:do, handle, govern, act; be	
